Scopus refine results values

"Your query : (TITLE-ABS-KEY(""electrical machines""))"


Number of results : 9968

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","1311","2021","245","Hameyer, K.","187","Agricultural and Biological Sciences","24","Conference Paper","5275","final","9922","IEEE Transactions On Magnetics","469","Electric Machinery","4029","Rheinisch-Westfälische Technische Hochschule Aachen","227","National Natural Science Foundation of China","141","United Kingdom","975","Conference Proceeding","4939","English","9050"
"Gold","354","2020","648","Gerada, C.","129","Arts and Humanities","18","Article","4291","aip","46","Proceeding Of International Conference On Electrical Machines And Systems Icems 2007","397","Electrical Machine","3838","University of Nottingham","204","European Commission","107","Germany","959","Journal","4685","Russian","154"
"Hybrid Gold","52","2019","739","Arkkio, A.","100","Biochemistry, Genetics and Molecular Biology","32","Conference Review","137",,,"COMPEL The International Journal For Computation And Mathematics In Electrical And Electronic Engineering","244","Permanent Magnets","1610","Aalto University","202","Engineering and Physical Sciences Research Council","80","China","903","Book Series","208","Chinese","148"
"Bronze","245","2018","630","Belahcen, A.","93","Business, Management and Accounting","58","Review","104",,,"IEEE Transactions On Industrial Electronics","180","Electrical Machines","1451","Politecnico di Torino","150","Horizon 2020 Framework Programme","65","France","745","Book","84","German","137"
"Green","916","2017","655","Galea, M.","66","Chemical Engineering","125","Book Chapter","81",,,"IEEE Transactions On Industry Applications","171","Finite Element Method","1443","The University of Sheffield","111","European Regional Development Fund","51","United States","689","Trade Journal","46","Polish","122"
,,"2016","597","Cavagnino, A.","56","Chemistry","55","Book","32",,,"IECON Proceedings Industrial Electronics Conference","136","Stators","988","IEEE","110","Deutsche Forschungsgemeinschaft","49","Italy","547","Report","4","French","25"
,,"2015","462","Zhu, J.","56","Computer Science","1424","Editorial","13",,,"Przeglad Elektrotechniczny","133","Induction Motors","900","CNRS Centre National de la Recherche Scientifique","105","Conselho Nacional de Desenvolvimento Científico e Tecnológico","34","Russian Federation","438","Undefined","2","Spanish","25"
,,"2014","494","Zhu, Z.Q.","54","Decision Sciences","87","Note","13",,,"IEEE Transactions On Energy Conversion","125","Winding","800","Université de Lille","100","Seventh Framework Programme","33","India","396",,,"Japanese","18"
,,"2013","378","Guo, Y.","49","Earth and Planetary Sciences","75","Letter","8",,,"IEE Conference Publication","110","Power Electronics","757","LUT University","97","Natural Sciences and Engineering Research Council of Canada","32","Poland","347",,,"Portuguese","18"
,,"2012","407","Vaimann, T.","49","Economics, Econometrics and Finance","6","Erratum","6",,,"Russian Electrical Engineering","87","Electric Drives","748","Universiteit Gent","90","UK Research and Innovation","32","Finland","334",,,"Czech","17"
,,"2011","350","Gerling, D.","48","Energy","2176","Report","4",,,"Energies","85","Machine Design","607","University of Technology Sydney","89","Ministry of Education and Science of the Russian Federation","31","Romania","263",,,"Italian","10"
,,"2010","343","Gerada, D.","47","Engineering","8836","Short Survey","2",,,"Elektrichestvo","76","Electric Motors","564","Technical University of Cluj-Napoca","84","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior","30","Canada","252",,,"Turkish","8"
,,"2009","267","Steentjes, S.","47","Environmental Science","189","Data Paper","1",,,"SAE Technical Papers","74","Electric Windings","543","Laboratoire d'Electronique et d'Electronique de Puissance de Lille L2EP","83","Russian Science Foundation","30","Japan","238",,,"Korean","6"
,,"2008","281","Kallaste, A.","46","Health Professions","2","Retracted","1",,,"Proceedings 2020 International Conference On Electrical Machines ICEM 2020","73","Synchronous Machinery","521","Università degli Studi di Padova","77","Academy of Finland","25","Spain","218",,,"Serbian","3"
,,"2007","622","Pyrhonen, J.","46","Immunology and Microbiology","1",,,,,"Iet Conference Publications","72","Computer Simulation","491","Shenyang University of Technology","77","Bundesministerium für Bildung und Forschung","20","Brazil","202",,,"Slovenian","3"
,,"2006","177","Boglietti, A.","43","Materials Science","1254",,,,,"Proceedings 2016 22nd International Conference On Electrical Machines ICEM 2016","72","Electric Machine Theory","466","Technical University of Munich","74","European Research Council","20","Iran","195",,,"Ukrainian","3"
,,"2005","186","Giangrande, P.","43","Mathematics","1327",,,,,"Conference Record IAS Annual Meeting IEEE Industry Applications Society","66","Magnets","458","Newcastle University","67","Fundamental Research Funds for the Central Universities","20","Sweden","180",,,"Dutch","2"
,,"2004","143","Ponick, B.","43","Medicine","46",,,,,"International Journal Of Applied Electromagnetics And Mechanics","62","Rotors (windings)","453","Grenoble Electrical Engineering Laboratory G2Elab","63","Japan Society for the Promotion of Science","18","Belgium","174",,,"Finnish","2"
,,"2003","164","Capolino, G.A.","42","Multidisciplinary","45",,,,,"IEE Colloquium Digest","61","Mathematical Models","434","Southeast University, Nanjing","62","MinistÃ©rio da CiÃªncia, Tecnologia e InovaÃ§Ã£o","18","South Korea","173",,,"Hungarian","2"
,,"2002","127","Vaschetto, S.","36","Neuroscience","5",,,,,"Proceedings 2018 23rd International Conference On Electrical Machines ICEM 2018","59","Magnetism","428","Tallinna Tehnikaülikool","61","Energimyndigheten","17","Australia","164",,,"Persian","2"
,,"2001","134","Herzog, H.G.","35","Pharmacology, Toxicology and Pharmaceutics","6",,,,,"Iet Electric Power Applications","57","Synchronous Motors","423","University of Nottingham Ningbo China","61","Horizon 2020","17","Austria","159",,,"Croatian","1"
