Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Zhang, J., Shao, J., Zheng, L., Shen, Y., Zhao, X.","57224089500; 57224082736; 57224076808; 36969881200; 57224098330","Comparative clinical accuracy analysis of the newly developed ZZ IOL and four existing IOL formulas for post-corneal refractive surgery eyes",2021,"BMC Ophthalmology",21,"1", 231,,,,,10.1186/s12886-021-01991-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85106897369&partnerID=40&md5=74343c246cb152d817dace6709d37ba2",Article,Final,Open Access,Scopus,2-s2.0-85106897369
"Son, H.-S., Łabuz, G., Khoramnia, R., Yildirim, T.M., Auffarth, G.U.","56785136000; 56786445400; 13605192200; 57190174430; 7004509773","Laboratory analysis and ray visualization of diffractive optics with enhanced intermediate vision",2021,"BMC Ophthalmology",21,"1", 197,,,,,10.1186/s12886-021-01958-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85105190828&partnerID=40&md5=866b12502a46efd4762ef3684bfe039b",Article,Final,Open Access,Scopus,2-s2.0-85105190828
"Zhang, Y., Li, T., Reddy, A., Nallasamy, N.","57211609895; 57221512235; 57218484937; 26531640300","Gender differences in refraction prediction error of five formulas for cataract surgery",2021,"BMC Ophthalmology",21,"1", 183,,,,,10.1186/s12886-021-01950-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104599691&partnerID=40&md5=fc9659fb403ba4513fb9b6f669928136",Article,Final,Open Access,Scopus,2-s2.0-85104599691
"Li, N., Canady, T.D., Huang, Q., Wang, X., Fried, G.A., Cunningham, B.T.","57188699534; 52663257200; 56808511600; 55367224600; 7102886839; 7202329774","Photonic resonator interferometric scattering microscopy",2021,"Nature Communications",12,"1", 1744,,,,2,10.1038/s41467-021-21999-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102856618&partnerID=40&md5=0f8d4b0c94c7b44c39bd37b3694ca5a5",Article,Final,Open Access,Scopus,2-s2.0-85102856618
"Kulce, O., Mengu, D., Rivenson, Y., Ozcan, A.","57190174664; 56707418600; 24081473400; 7005667692","All-optical information-processing capacity of diffractive surfaces",2021,"Light: Science and Applications",10,"1", 25,,,,2,10.1038/s41377-020-00439-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85099200923&partnerID=40&md5=aa730a927bf3b3ecbdf70ded16d4b7b1",Article,Final,Open Access,Scopus,2-s2.0-85099200923
"Rahman, M.S.S., Li, J., Mengu, D., Rivenson, Y., Ozcan, A.","57221150817; 57204006774; 56707418600; 24081473400; 7005667692","Ensemble learning of diffractive optical networks",2021,"Light: Science and Applications",10,"1", 14,,,,1,10.1038/s41377-020-00446-w,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85099194400&partnerID=40&md5=e728cb71142e186f5991c7eb833a49bf",Article,Final,Open Access,Scopus,2-s2.0-85099194400
"Rigosi, A.F., Levy, A.L., Snure, M.R., Glavin, N.R.","47961303200; 57215111501; 16424479800; 55215003900","Turn of the decade: Versatility of 2D hexagonal boron nitride",2021,"JPhys Materials",4,"3", 032003,,,,,10.1088/2515-7639/abf1ab,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85105025768&partnerID=40&md5=82ad0157da294a4685c580466f3fa2b2",Review,Final,Open Access,Scopus,2-s2.0-85105025768
"Gayathri, R., Monika, K., Murukeshan, V.M., Vijayan, C.","57211569063; 57222087053; 7004610068; 6701538334","Low threshold incoherent random lasing with spectral overlap optimization of size-tuned plasmonic nanorods",2021,"Optics and Laser Technology",139,"", 106959,,,,,10.1016/j.optlastec.2021.106959,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101413067&partnerID=40&md5=919606513bb23020fcb379b6a5aef97c",Article,Final,,Scopus,2-s2.0-85101413067
"Yuzhakova, A., Salimgareev, D., Turabi, A., Korsakov, A., Zhukova, L.","57222120421; 56459099300; 57214136941; 25927265600; 36103707600","Thermally stimulated ionic conductivity study of the AgCl – AgBr, AgBr – AgI, AgBr – TlBr<inf>0.46</inf>I<inf>0.54</inf> crystals systems",2021,"Optics and Laser Technology",139,"", 106995,,,,,10.1016/j.optlastec.2021.106995,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101154679&partnerID=40&md5=bf7bacb1bd0364d34f0bd36c07e6bc05",Article,Final,,Scopus,2-s2.0-85101154679
"Su, G., Su, H., Hu, L., Qin, Z., Shen, X., Ding, J., Liu, F., Lu, M., Zhan, P., Liu, Y.","57193330178; 57201999006; 57218290028; 57207452021; 57220860305; 55463424000; 35490891300; 55491045400; 26868316300; 27467442000","Demonstration of microwave plasmonic-like vortices with tunable topological charges by a single metaparticle",2021,"Applied Physics Letters",118,"24", 241106,,,,,10.1063/5.0053834,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85108115722&partnerID=40&md5=b6d12f7475bfec1de812f0a1babca21e",Article,Final,Open Access,Scopus,2-s2.0-85108115722
